"codigo_de_solicitante","grado_academico","especialidad","institucion_educativa","annio_de_graduacion","indice_titulo"
12531,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2012",1
11939,Profesorado,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2015",1
10673,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional Santa Ana,"2008",1
13857,Licenciatura,Física,Universidad de El Salvador,"2015",1
13264,Licenciatura,Educación Básica para I y II Ciclos,Universidad Monseñor Óscar Arnulfo Romero,"2019",1
13854,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2013",1
13870,Profesorado,Matemática,Universidad de El Salvador,"2019",1
13867,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2010",1
13382,Licenciatura,Ciencias Sociales,Universidad Pedagógica de El Salvador,"2019",1
11155,Profesorado,Educación Especial,Universidad de El Salvador,"2010",1
13806,Maestría,Ciencias y Humanidades,Universidad Católica de El Salvador,"2019",1
11826,Licenciatura,Educación Parvularia,Universidad Francisco Gavidia,"2009",1
12598,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2018",1
4038,Licenciatura,"Educación Física, Deporte y Recreación",Universidad de El Salvador,"2017",1
7213,Licenciatura,Matemática,Universidad de Sonsonate,"2013",1
11587,Profesorado,Matemática,Universidad de El Salvador- Santa Ana,"2019",1
13878,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional Santa Ana,"2007",1
13890,Licenciatura,Ciencias Sociales,Universidad Modular Abierta,"2012",1
2927,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2015",1
13909,Licenciatura,Idioma Inglés,Universidad Pedagógica de El Salvador,"2017",1
13729,Licenciatura,Administración Escolar,Universidad de El Salvador,"2021",1
13914,Licenciatura,Educación Básica para I y II Ciclos,Universidad Monseñor Óscar Arnulfo Romero,"2015",1
13912,Licenciatura,Idioma Inglés,Universidad Católica de El Salvador - Ilobasco,"2021",1
13915,Profesorado,Matemática,Universidad de El Salvador- Santa Ana,"2020",1
13402,Licenciatura,Matemática,Universidad Católica de El Salvador - Ilobasco,"2019",1
3123,Licenciatura,Matemática,Universidad Católica de El Salvador - Ilobasco,"2019",1
13722,Profesorado,Matemática,Universidad de El Salvador,"2015",1
12005,Licenciatura,Ciencias de la Educación,Universidad de El Salvador - San Miguel,"2016",1
13864,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2012",1
7982,Licenciatura,Idioma Inglés,Universidad Católica de El Salvador,"2020",1
8703,Maestría,Informática,Universidad Doctor Andrés Bello,"2019",1
5478,Licenciatura,Ciencias de la Educación,Universidad de El Salvador,"2010",1
13944,Profesorado,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2020",1
