"codigo_de_solicitante","grado_academico","especialidad","institucion_educativa","annio_de_graduacion","indice_titulo"
5759,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional Sonsonate,"2010",1
3976,Licenciatura,Idioma Inglés,Universidad Católica de El Salvador - Ilobasco,"2019",1
2923,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2019",1
2206,Licenciatura,Contaduría Pública,Universidad de El Salvador- Santa Ana,"2004",1
5769,Licenciatura,Matemática,Universidad de El Salvador - San Vicente,"2021",1
654,Licenciatura,Idioma Inglés,Instituto Especializado de Nivel Superior Centro Cultural Salvadoreño Americano,"2021",1
4869,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2019",1
5770,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2018",1
5764,Licenciatura,Ciencias Naturales,Universidad Pedagógica de El Salvador,"2019",1
5778,Licenciatura,Idioma Inglés,Universidad Católica de El Salvador,"2016",1
5630,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2019",1
5792,Profesorado,Educación Parvularia,Universidad Pedagógica de El Salvador,"2014",1
5801,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2012",1
5783,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional Sonsonate,"2018",1
5807,Profesorado,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2019",1
5793,Profesorado,Educación Parvularia,Universidad de El Salvador,"2011",1
5805,Licenciatura,Ciencias Sociales,Universidad de Oriente,"2012",1
3758,Licenciatura,Humanidades,Universidad Doctor Andrés Bello - regional San Miguel,"2011",1
1435,Maestría,Informática,Universidad Doctor Andrés Bello,"2016",1
5816,Profesorado,Educación Parvularia,Universidad Francisco Gavidia,"2014",1
4744,Licenciatura,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"02-12-2013",1
5803,Licenciatura,Idioma Inglés,Universidad Tecnológica de El Salvador,"2016",1
2111,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2020",1
1512,Licenciatura,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"2,018",1
5827,Profesorado,Ciencias Comerciales,Universidad Capitán General Gerardo Barrios,"2015",1
5819,Licenciatura,Administración Escolar,Universidad de El Salvador - San Vicente,"2021",1
5829,Licenciatura,Educación Parvularia,Universidad Francisco Gavidia,"2018",1
5832,Licenciatura,Ciencias Naturales,Universidad de Sonsonate,"2019",1
2655,Profesorado,Lenguaje y Literatura,Universidad de El Salvador,"2008",1
2162,Profesorado,Matemática,Universidad de El Salvador,"2014",1
5833,Licenciatura,Psicología,Universidad de Oriente,"2008",1
5841,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2009",1
5837,Profesorado,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"2012",1
4110,Licenciatura,Ciencias Sociales,Universidad Capitán General Gerardo Barrios,"2016",1
4814,Profesorado,Matemática,Universidad de El Salvador- Santa Ana,"2018",1
1278,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2015",1
5806,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2011",1
5847,Profesorado,Educación Básica para I y II Ciclos,Universidad Centroamericana José Simeón Cañas,"2019",1
5867,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2011",1
1822,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional San Miguel,"2020",1
5108,Licenciatura,Ciencias Sociales,Universidad Capitán General Gerardo Barrios,"2007",1
337,Profesorado,Matemática,Universidad de El Salvador - San Miguel,"2019",1
5862,Licenciatura,Educación Básica,Universidad Católica de El Salvador,"2011",1
5864,Licenciatura,Humanidades,Universidad Capitán General Gerardo Barrios - regional Usulután,"2008",1
5160,Profesorado,Idioma Inglés,Universidad de Oriente,"2021",1
3718,Profesorado,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"16/07/2005",1
5881,Profesorado,Educación Parvularia,Universidad Católica de Occidente,"2001",1
5871,Profesorado,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2014",1
5848,Profesorado,Ciencias Naturales,Universidad de El Salvador,"2015",1
5892,Licenciatura,Administración de Empresas,Universidad de El Salvador,"2009",1
5772,Licenciatura,Matemática,Universidad Pedagógica de El Salvador,"2021",1
4503,Licenciatura,Matemática,Universidad de Sonsonate,"2016",1
5853,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional Santa Ana,"2011",1
5906,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2014",1
3725,Licenciatura,Idioma Inglés,Universidad de Oriente,"2018",1
5890,Licenciatura,Ciencias Naturales,Universidad Pedagógica de El Salvador,"2016",1
2366,Licenciatura,Educación Básica,Universidad Católica de El Salvador,"2020",1
5885,Profesorado,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2014",1
5880,Profesorado,Matemática,Universidad Pedagógica de El Salvador,"2014",1
3831,Licenciatura,Educación Parvularia,Universidad de Oriente,"2011",1
5905,Licenciatura,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2018",1
5913,Licenciatura,Ciencias Sociales,Universidad Modular Abierta - regional Sonsonate,"2012",1
956,Licenciatura,Idioma Inglés,Universidad de Oriente,"2017",1
5926,Licenciatura,Ciencias Sociales,Universidad Panamericana - regional Ahuachapán,"2016",1
5927,Licenciatura,Ciencias Sociales,Universidad Panamericana - regional Ahuachapán,"2016",1
4493,Licenciatura,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"2014",1
5925,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional Sonsonate,"2010",1
5924,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional Sonsonate,"2012",1
5911,Licenciatura,Ciencias de la Educación,Universidad de El Salvador- Santa Ana,"2019",1
2243,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional San Miguel,"2019",1
5931,Profesorado,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"2006",1
3372,Licenciatura,Educación Parvularia,Universidad Capitán General Gerardo Barrios,"2007",1
5929,Licenciatura,Lenguaje y Literatura,Universidad de El Salvador,"2014",1
3893,Licenciatura,Lenguaje y Literatura,Universidad de El Salvador- Santa Ana,"28/04/2021",1
5884,Licenciatura,Idioma Inglés,Universidad Modular Abierta,"2021",1
5933,Profesorado,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"2010",1
1843,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2011",1
5934,Profesorado,Educación Parvularia,Universidad de El Salvador - San Miguel,"2012",1
5944,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2015",1
5940,Profesorado,Matemática,Universidad Capitán General Gerardo Barrios - regional Usulután,"2018",1
4769,Profesorado,Lenguaje y Literatura,Universidad Capitán General Gerardo Barrios,"2019",1
5953,Profesorado,Ciencias Sociales,Universidad Modular Abierta - regional Santa Ana,"2000",1
5930,Licenciatura,Idioma Inglés,Universidad Tecnológica de El Salvador,"2016",1
2229,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2009",1
5967,Licenciatura,"Educación Física, Deporte y Recreación",Universidad de El Salvador,"2017",1
5536,Licenciatura,Matemática,Universidad de El Salvador- Santa Ana,"2019",1
1626,Licenciatura,Computación,Universidad Capitán General Gerardo Barrios - regional Usulután,"2009",1
5970,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2012",1
5966,Licenciatura,Administración de Empresas,Universidad de Sonsonate,"2008",1
800,Profesorado,Educación Física y Deportes,Universidad Pedagógica de El Salvador,"2010",1
1851,Profesorado,Ciencias Naturales,Universidad Pedagógica de El Salvador,"2011",1
2234,Licenciatura,Ciencias Sociales,Universidad Modular Abierta,"2010",1
5982,Licenciatura,Lenguaje y Literatura,Universidad de El Salvador,"2013",1
5155,Profesorado,Educación Parvularia,Universidad Pedagógica de El Salvador,"2010",1
5979,Profesorado,Lenguaje y Literatura,Instituto Especializado de Educación Superior El Espíritu Santo,"2006",1
5986,Licenciatura,Matemática,Universidad de El Salvador- Santa Ana,"2019",1
3679,Licenciatura,Idioma Inglés,Universidad de El Salvador,"2017",1
5989,Profesorado,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"2020",1
5595,Profesorado,Idioma Inglés,Universidad de El Salvador - San Miguel,"2011",1
3448,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2011",1
3743,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2017",1
5825,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2011",1
4661,Profesorado,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"2011",1
5685,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional San Miguel,"2014",1
6011,Profesorado,Informática,Universidad Pedagógica de El Salvador,"2013",1
2049,Profesorado,Lenguaje y Literatura,Universidad Capitán General Gerardo Barrios,"2020",1
4249,Profesorado,Computación,Universidad Pedagógica de El Salvador,"2012",1
6006,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2013",1
3275,Profesorado,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2010",1
6025,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2012",1
4286,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2012",1
1946,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2016",1
1360,Profesorado,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"2015",1
2938,Licenciatura,Educación Básica,Universidad Católica de El Salvador,"2021",1
4673,Profesorado,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"2010",1
6031,Licenciatura,Matemática,Universidad de El Salvador - San Vicente,"2021",1
1893,Profesorado,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"2001",1
6037,Licenciatura,Educación Especial,Universidad Capitán General Gerardo Barrios,"2014",1
6038,Licenciatura,Idioma Inglés,Universidad Pedagógica de El Salvador,"2018",1
3775,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2017",1
6045,Profesorado,Idioma Inglés,Universidad de El Salvador - San Miguel,"2018",1
5658,Licenciatura,Educación Parvularia,Universidad Luterana Salvadoreña,"2017",1
6055,Profesorado,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"2010",1
6056,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional Sonsonate,"2013",1
6020,Licenciatura,Ciencias Sociales,Universidad Panamericana - regional Ahuachapán,"2011",1
5242,Profesorado,Matemática,Universidad de Oriente,"2017",1
6048,Profesorado,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2020",1
5167,Licenciatura,Ciencias Sociales,Universidad de Oriente,"2011",1
6065,Profesorado,Educación Inicial y Parvularia,Universidad de Oriente,"2019",1
1679,Licenciatura,Educación Especial,Universidad Evangélica de El Salvador,"2013",1
2373,Licenciatura,Ciencias Sociales,Universidad de El Salvador - San Vicente,"26/08/2011",1
6067,Licenciatura,Educación Parvularia,Universidad Francisco Gavidia,"2015",1
6052,Licenciatura,Ciencias Sociales,Universidad de Sonsonate,"2009",1
3689,Profesorado,Educación Parvularia,Universidad de El Salvador,"2009",1
6078,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2015",1
4133,Licenciatura,Ciencias de la Educación,Universidad de El Salvador,"2021",1
6068,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional San Miguel,"2010",1
6066,Licenciatura,Idioma Inglés,Universidad de El Salvador- Santa Ana,"2019",1
6083,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2019",1
2244,Profesorado,Idioma Inglés para III Ciclo de Educación Básica y Media,Universidad de El Salvador - San Miguel,"2021",1
3235,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2017",1
5131,Profesorado,Educación Parvularia,Universidad Francisco Gavidia,"2014",1
5973,Licenciatura,Educación Básica para I y II Ciclos,Universidad Monseñor Óscar Arnulfo Romero,"2013",1
6089,Profesorado,Idioma Inglés,Universidad de Oriente,"2021",1
1402,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2019",1
1118,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2015",1
5388,Profesorado,Ciencias Sociales,Universidad de El Salvador,"2008",1
6097,Licenciatura,Idioma Inglés,Universidad de Oriente,"2016",1
6098,Licenciatura,"Educación Física, Deporte y Recreación",Universidad de El Salvador,"2018",1
6094,Profesorado,Matemática,Universidad Capitán General Gerardo Barrios,"2019",1
4479,Licenciatura,Educación Parvularia,Universidad Francisco Gavidia,"2011",1
4164,Licenciatura,Educación Básica para I y II Ciclos,Universidad de Sonsonate,"2015",1
3015,Profesorado,Ciencias Sociales,Universidad de El Salvador,"2006",1
6104,Profesorado,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"2015",1
6071,Licenciatura,Educación Especial,Universidad Francisco Gavidia,"2003",1
993,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2013",1
6072,Licenciatura,Educación Básica para I y II Ciclos,Universidad Católica de Occidente,"2015",1
6101,Profesorado,Idioma Inglés,Universidad de El Salvador- Santa Ana,"2020",1
6108,Profesorado,Matemática,Universidad de El Salvador - San Miguel,"2015",1
6107,Licenciatura,Matemática,Universidad Pedagógica de El Salvador,"2021",1
1172,Profesorado,Educación Parvularia,Universidad de El Salvador - San Vicente,"2018",1
6113,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional San Miguel,"2010",1
1967,Licenciatura,Idioma Inglés,Universidad Cristiana de las Asambleas de Dios,"2010",1
6125,Profesorado,Ciencias Comerciales,Universidad de El Salvador,"2009",1
5672,Licenciatura,Educación Básica para I y II Ciclos,Universidad Católica de El Salvador,"2018",1
6128,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2017",1
5916,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2017",1
6123,Licenciatura,Educación Básica,Universidad Católica de Occidente,"2005",1
6120,Licenciatura,Idioma Inglés,Universidad de Oriente,"2020",1
6092,Profesorado,Matemática,Universidad Capitán General Gerardo Barrios,"2020",1
2550,Profesorado,Educación Artística,Universidad de Oriente,"2020",1
3914,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios - regional Usulután,"2019",1
4049,Licenciatura,Idioma Inglés,Universidad Tecnológica de El Salvador,"2017",1
6135,Licenciatura,Lenguaje y Literatura,Universidad de El Salvador,"2014",1
1572,Licenciatura,Computación,Universidad Monseñor Óscar Arnulfo Romero,"2011",1
4508,Profesorado,Computación,Universidad Doctor Andrés Bello - regional Sonsonate,"2014",1
5497,Profesorado,Idioma Inglés para III Ciclo de Educación Básica y Media,Universidad Capitán General Gerardo Barrios - regional Usulután,"2018",1
4408,Licenciatura,Ciencias Sociales,Universidad Católica de El Salvador,"2014",1
1463,Profesorado,Matemática,Universidad de El Salvador - San Vicente,"2013",1
1265,Profesorado,Matemática,Universidad de El Salvador- Santa Ana,"2013",1
4203,Licenciatura,Ciencias Sociales,Universidad Capitán General Gerardo Barrios - regional Usulután,"2004",1
5325,Licenciatura,Matemática,Universidad de Sonsonate,"2016",1
1288,Licenciatura,Matemática,Universidad de Sonsonate,"2019",1
1664,Profesorado,Computación,Universidad Capitán General Gerardo Barrios - regional Usulután,"2014",1
6148,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2019",1
5861,Licenciatura,Idioma Inglés,Universidad Modular Abierta,"2021",1
6167,Profesorado,Matemática,Universidad de El Salvador,"2012",1
3195,Profesorado,Educación Física y Deportes,Universidad Pedagógica de El Salvador,"2013",1
4336,Licenciatura,Educación Parvularia,Universidad Francisco Gavidia,"2005",1
6174,Licenciatura,Educación Física,Universidad de El Salvador,"2018",1
6173,Licenciatura,Matemática,Universidad de El Salvador - San Vicente,"2021",1
6131,Licenciatura,Ciencias Sociales,Universidad Panamericana - regional Ahuachapán,"2012",1
6140,Licenciatura,Lenguaje y Literatura,Universidad de El Salvador- Santa Ana,"2012",1
6180,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2020",1
6190,Profesorado,Ciencias Naturales,Universidad Pedagógica de El Salvador,"2011",1
6185,Licenciatura,Idioma Inglés,Universidad Católica de El Salvador - Ilobasco,"2015",1
6192,Profesorado,Matemática,Universidad de El Salvador - San Vicente,"2015",1
4047,Profesorado,Matemática,Universidad de El Salvador,"2013",1
6181,Profesorado,Educación Básica para I y II Ciclos,Universidad Centroamericana José Simeón Cañas,"2017",1
6179,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2013",1
3499,Profesorado,Educación Básica para I y II Ciclos,Universidad Centroamericana José Simeón Cañas,"2015",1
6201,Profesorado,Estudios Sociales,Universidad Capitán General Gerardo Barrios - regional Usulután,"2015",1
6193,Profesorado,Matemática,Universidad de El Salvador,"2012",1
3296,Licenciatura,Educación Básica para I y II Ciclos,Universidad Monseñor Óscar Arnulfo Romero,"2017",1
2643,Licenciatura,Educación Parvularia,Universidad Francisco Gavidia,"2010",1
4565,Licenciatura,Idioma Inglés,Universidad Tecnológica de El Salvador,"2016",1
4146,Licenciatura,"Educación Física, Deporte y Recreación",Universidad de El Salvador,"2019",1
6214,Profesorado,Sistemas Informáticos,Universidad Capitán General Gerardo Barrios,"2014",1
5676,Licenciatura,Ciencias Sociales,Universidad Modular Abierta,"2011",1
1108,Profesorado,Lenguaje y Literatura,Universidad de El Salvador,"2012",1
6222,Licenciatura,Lenguaje y Literatura,Universidad Modular Abierta,"2019",1
5498,Profesorado,Matemática,Universidad de El Salvador - San Miguel,"2017",1
5625,Licenciatura,Ciencias de la Educación,Universidad de El Salvador- Santa Ana,"2011",1
6225,Profesorado,Ciencias Sociales,Universidad de El Salvador,"2001",1
5564,Licenciatura,Educación Física,Universidad de El Salvador,"2017",1
3105,Licenciatura,Lenguaje y Literatura,Universidad de Sonsonate,"2018",1
6218,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2010",1
5572,Profesorado,Matemática (conocimiento de Lenguaje de Señas),Universidad Capitán General Gerardo Barrios,"2015",1
6231,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2005",1
6246,Licenciatura,"Educación Física, Deporte y Recreación",Universidad de El Salvador,"2012",1
4289,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2013",1
5387,Profesorado,Lenguaje y Literatura,Universidad de El Salvador,"2003",1
4313,Licenciatura,Idioma Inglés,Universidad de Oriente,"2020",1
5683,Licenciatura,Idioma Inglés,Universidad de El Salvador- Santa Ana,"2012",1
6258,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2019",1
2733,Licenciatura,Educación Física,Universidad de El Salvador,"2017",1
5844,Licenciatura,Educación Física y Deportes,Universidad Pedagógica de El Salvador,"2018",1
6272,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2011",1
6274,Licenciatura,Ciencias Sociales,Universidad Capitán General Gerardo Barrios,"2015",1
6220,Profesorado,Ciencias Comerciales,"Ministerio de Educación, Ciencia y Tecnología","2007",1
6275,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2013",1
6277,Profesorado,Educación Básica para I y II Ciclos,Instituto Especializado de Educación Superior El Espíritu Santo,"2013",1
6284,Profesorado,Lenguaje y Literatura,Universidad Capitán General Gerardo Barrios,"2018",1
6281,Licenciatura,Idioma Inglés,Universidad Católica de El Salvador - Ilobasco,"2014",1
2725,Licenciatura,Ciencias y Humanidades,Universidad Católica de El Salvador,"2020",1
5965,Profesorado,Idioma Inglés,Universidad de El Salvador - San Miguel,"2021",1
6086,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2018",1
321,Profesorado,Computación,Universidad Pedagógica de El Salvador,"2013",1
732,Licenciatura,Educación Parvularia,Universidad Evangélica de El Salvador,"2011",1
6293,Profesorado,Matemática,Universidad de El Salvador,"2019",1
6294,Licenciatura,Matemática,Universidad de El Salvador- Santa Ana,"2021",1
6301,Profesorado,Idioma Inglés,Universidad de El Salvador - San Miguel,"2021",1
6302,Licenciatura,Idioma Inglés,Universidad de El Salvador,"2008",1
6303,Licenciatura,Ingeniería de Software,Universidad Tecnológica de El Salvador,"2011",1
6313,Licenciatura,Idioma Inglés,Universidad Tecnológica de El Salvador,"30-01-2021",1
4956,Licenciatura,Lenguaje y Literatura,Universidad de El Salvador - San Miguel,"2014",1
5555,Licenciatura,Idioma Inglés,Universidad de Oriente,"2014",1
6315,Profesorado,Ciencias Sociales,Universidad de Oriente,"2013",1
6325,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional San Miguel,"2014",1
6324,Licenciatura,Ingeniería en Sistemas,Universidad Tecnológica de El Salvador,"2020",1
599,Licenciatura,Computación,Universidad de Oriente,"2012",1
4475,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2008",1
4241,Licenciatura,Ciencias Religiosas,Universidad Católica de El Salvador,"2010",1
4554,Licenciatura,Matemática,Universidad Católica de El Salvador - Ilobasco,"2018",1
277,Licenciatura,Idioma Inglés,Universidad de El Salvador,"2014",1
6347,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2013",1
6336,Licenciatura,Trabajo Social,Universidad Doctor Andrés Bello,"2007",1
6356,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2017",1
6357,Profesorado,Lenguaje y Literatura,Universidad de El Salvador,"2005",1
5096,Profesorado,Matemática,Universidad de El Salvador - San Miguel,"2018",1
6359,Licenciatura,Idioma Inglés,Universidad Católica de El Salvador - Ilobasco,"2018",1
6361,Licenciatura,Ciencias Sociales,Universidad Pedagógica de El Salvador,"2015",1
4309,Profesorado,Computación,Universidad Modular Abierta,"2015",1
6369,Licenciatura,Educación Física,Universidad de El Salvador,"2012",1
6377,Licenciatura,Lenguaje y Literatura,Universidad de El Salvador,"2021",1
6351,Licenciatura,Matemática,Universidad de El Salvador,"2020",1
433,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2017",1
6386,Profesorado,Educación Parvularia (conocimiento de Lenguaje de Señas),Universidad Francisco Gavidia,"2011",1
6384,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2013",1
6391,Licenciatura,Matemática,Universidad de El Salvador- Santa Ana,"2020",1
4481,Licenciatura,Idioma Inglés,Universidad de Oriente,"2018",1
6392,Profesorado,Matemática,Universidad Pedagógica de El Salvador,"2015",1
6405,Licenciatura,Computación,Universidad de Oriente,"2014",1
6023,Licenciatura,Ciencias Sociales,Universidad Modular Abierta - regional Sonsonate,"2012",1
6390,Licenciatura,Idioma Inglés,Universidad Pedagógica de El Salvador,"2018",1
1414,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2013",1
5755,Licenciatura,Ciencias de la Educación,Universidad de El Salvador - San Miguel,"2011",1
6417,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2019",1
4182,Licenciatura,Idioma Inglés,Universidad Capitán General Gerardo Barrios,"2017",1
5534,Licenciatura,Educación Física y Deportes,Universidad Pedagógica de El Salvador,"2019",1
3026,Profesorado,Ciencias Naturales,Universidad de El Salvador - San Vicente,"2011",1
6429,Profesorado,Computación,Universidad de Sonsonate,"2017",1
6428,Licenciatura,Lenguaje y Literatura,Universidad de El Salvador,"2021",1
5834,Maestría,Computación,Universidad Capitán General Gerardo Barrios,"2014",1
4640,Profesorado,Ciencias Comerciales,Universidad de El Salvador - San Vicente,"2015",1
6426,Profesorado,Ciencias Sociales,Universidad Pedagógica de El Salvador,"2004",1
6436,Licenciatura,Ciencias Naturales,Universidad Pedagógica de El Salvador,"2021",1
6449,Licenciatura,Lenguaje y Literatura,Universidad de Sonsonate,"2017",1
1300,Profesorado,Computación,Universidad Pedagógica de El Salvador,"2014",1
6454,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2005",1
1660,Profesorado,Electrónica,Universidad Pedagógica de El Salvador,"2015",1
6456,Licenciatura,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2014",1
6385,Licenciatura,Idioma Inglés,Universidad de El Salvador- Santa Ana,"2018",1
5278,Profesorado,Matemática,Universidad Capitán General Gerardo Barrios,"2018",1
5632,Profesorado,Educación Media en el Campo de la Electrónica,Universidad Pedagógica de El Salvador,"2016",1
5702,Profesorado,Matemática,Universidad de El Salvador - San Miguel,"2021",1
3249,Licenciatura,Idioma Inglés,Universidad de Oriente,"2017",1
6461,Licenciatura,Ciencias de la Educación,Universidad de El Salvador - San Miguel,"2018",1
5718,Profesorado,Educación Física,Universidad Pedagógica de El Salvador,"2007",1
6470,Profesorado,Educación Básica para I y II Ciclos,Universidad Pedagógica de El Salvador,"2013",1
4388,Licenciatura,Matemática,Universidad Católica de El Salvador - Ilobasco,"2018",1
6475,Licenciatura,Educación Parvularia,Universidad Pedagógica de El Salvador,"2012",1
6418,Licenciatura,Idioma Inglés,Universidad de Oriente,"2015",1
2439,Licenciatura,Educación Especial,Universidad Capitán General Gerardo Barrios - regional Usulután,"2016",1
6490,Licenciatura,Educación Inicial y Parvularia,Universidad de Oriente,"2010",1
1635,Licenciatura,Educación Parvularia,Universidad de Oriente,"2019",1
6480,Profesorado,Educación Básica para I y II Ciclos,Universidad Don Bosco,"2018",1
1386,Licenciatura,Idioma Inglés,Universidad de Oriente,"2017",1
6503,Profesorado,Matemática,Universidad de El Salvador - San Vicente,"2021",1
5664,Profesorado,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"2007",1
6502,Licenciatura,Matemática,Universidad de Sonsonate,"2016",1
6501,Profesorado,Lenguaje y Literatura,Universidad de El Salvador,"2018",1
6508,Licenciatura,Idioma Inglés,Universidad de El Salvador,"2019",1
6516,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2015",1
6515,Profesorado,Lenguaje y Literatura,Universidad de El Salvador,"2007",1
851,Licenciatura,Matemática,Universidad de El Salvador- Santa Ana,"2021",1
6504,Licenciatura,"Educación Básica para I, II y III Ciclos",Universidad Católica de Occidente,"2007",1
6519,Licenciatura,Idioma Inglés,Universidad Modular Abierta,"2017",1
5636,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador - San Miguel,"2017",1
6509,Profesorado,Educación Parvularia,Universidad Pedagógica de El Salvador,"2003",1
6524,Licenciatura,Idioma Inglés,Universidad de Oriente,"2015",1
6526,Profesorado,Educación Básica para I y II Ciclos,Universidad de El Salvador,"2014",1
6531,Profesorado,Educación Básica para I y II Ciclos,Universidad Centroamericana José Simeón Cañas,"2010",1
2358,Profesorado,Lenguaje y Literatura,Universidad de El Salvador - San Miguel,"2004",1
1128,Licenciatura,Educación Parvularia,Universidad Modular Abierta - regional San Miguel,"2014",1
2293,Licenciatura,Lenguaje y Literatura,Universidad Pedagógica de El Salvador,"2009",1
6557,Licenciatura,Lenguaje y Literatura,Universidad de El Salvador- Santa Ana,"2011",1
6551,Licenciatura,Educación Básica para I y II Ciclos,Universidad de El Salvador- Santa Ana,"2006",1
